nome,sigla,superior.sigla,unidade_organizacional.nome,is_siape,total_servidores
COORDENAÇÃO DE TECNOLOGIA DA INFORMAÇÃO - CAMPUS PICUÍ,CTI-PC,DG-PC,CAMPUS PICUÍ,False,2
SECRETARIA DA DIREÇÃO DE ADM. PLANEJ. E FINANÇAS - CAMPUS PICUÍ,SDAPF-PC,DAPF-PC,CAMPUS PICUÍ,False,0
COORDENAÇÃO DE MANUT. SEG. E TRANSPORTE - CAMPUS PICUÍ,CMST-PC,DAPF-PC,CAMPUS PICUÍ,False,1
COORDENAÇÃO DE PLANEJAMENTO - CAMPUS PICUÍ,COPLAN-PC,DAPF-PC,CAMPUS PICUÍ,False,2
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS PICUÍ,CGP-PC,DAPF-PC,CAMPUS PICUÍ,False,1
COORDENAÇÃO DE PATRIMÔNIO E ALMOXARIFADO - CAMPUS PICUÍ,CPA-PC,DAPF-PC,CAMPUS PICUÍ,False,2
COORDENAÇÃO DE COMPRAS E CONTRATOS - CAMPUS PICUÍ,CCC-PC,DAPF-PC,CAMPUS PICUÍ,False,2
SECRETARIA DA DIR. ENSINO - CAMPUS PICUÍ,SDE-PC,DDE-PC,CAMPUS PICUÍ,False,0
COORDENAÇÃO PEDAGÓGICA E  DE APOIO AO ESTUDANTE - CAMPUS PICUÍ,COPAE-PC,DDE-PC,CAMPUS PICUÍ,False,9
COORDENAÇÃO DE TURNO - CAMPUS PICUÍ,CT-PC,DDE-PC,CAMPUS PICUÍ,False,2
COORDENAÇÃO DO CURSO SUPERIOR EM AGROECOLOGIA - CAMPUS PICUÍ,CCSA-PC,DDE-PC,CAMPUS PICUÍ,False,12
COORDENAÇÃO DO CONTROLE ACADÊMICO - CAMPUS PICUÍ,CCA-PC,DDE-PC,CAMPUS PICUÍ,False,4
COORDENAÇÃO DE BIBLIOTECA - CAMPUS PICUÍ,CB-PC,DDE-PC,CAMPUS PICUÍ,False,1
COORDENAÇÃO DE ESTÁGIO - CAMPUS PICUÍ,CE-PC,DDE-PC,CAMPUS PICUÍ,False,1
COORDENAÇÃO DOS CURSOS TÉCNICOS - CAMPUS PICUÍ,CCT-PC,DDE-PC,CAMPUS PICUÍ,False,0
COORDENAÇÃO DE COMUNICAÇÃO SOCIAL DO CAMPUS CABEDELO,CCS-CB,GAB-CB,CAMPUS CABEDELO,False,0
ASSESSORIA JURÍDICA DO CAMPUS CABEDELO,ASJ-CB,DG-CB,CAMPUS CABEDELO,False,0
COORDENAÇÃO DE PESQUISA E EXTENSÃO DO CAMPUS CABEDELO,CPEX-CB,DG-CB,CAMPUS CABEDELO,False,1
"COORDENAÇÃO DE MANUTENÇÃO, SEGURANÇA E TRANSPORTE DO CAMPUS CABEDELO",COMAST-CB,DAPF-CB,CAMPUS CABEDELO,False,1
COORDENAÇÃO DE PLANEJAMENTO E ORÇAMENTO DO CAMPUS CABEDELO,COPLAN-CB,DAPF-CB,CAMPUS CABEDELO,False,1
COORDENAÇÃO DE CONTABILIDADE DO CAMPUS CABEDELO,CC-CB,DAPF-CB,CAMPUS CABEDELO,False,0
COORDENAÇÃO DE PROTOCOLO - CAMPUS CABEDELO,PROTOCOLO-CB,DAPF-CB,CAMPUS CABEDELO,False,0
COORDENAÇÃO DE GESTÃO DE PESSOAS DO CAMPUS CABEDELO,CGP-CB,DAPF-CB,CAMPUS CABEDELO,False,1
DIRETORIA GERAL  DO CAMPUS CABEDELO,DG-CB,CAMPUS-CB,CAMPUS CABEDELO,False,120
COORDENAÇÃO DE  PATRIMÔNIO - CAMPUS CABEDELO,COPAT-CB,DAPF-CB,CAMPUS CABEDELO,False,0
COORDENAÇÃO DE FINANÇAS E CONTABILIDADE DO CAMPUS CABEDELO,CFC-CB,DAPF-CB,CAMPUS CABEDELO,False,2
"COORDENAÇÃO DE COMPRAS, CONTRATOS E LICITAÇÃO DO CAMPUS CABEDELO",CCCL-CB,DAPF-CB,CAMPUS CABEDELO,False,0
CONSELHO DIRETOR DO CAMPUS CABEDELO,CD-CB,CAMPUS-CB,CAMPUS CABEDELO,False,0
COORDENAÇÃO DE PRODUÇÃO GRÁFICA DO CAMPUS CABEDELO,CPG-CB,DAPF-CB,CAMPUS CABEDELO,False,0
COORDENAÇÃO PEDAGÓGICA E DE APOIO AO ESTUDANTE DO CAMPUS CABEDELO,COPAE-CB,DDE-CB,CAMPUS CABEDELO,False,5
COORDENACAO DE ESTAGIOS DO CAMPUS CABEDELO,COE-CB,DDE-CB,CAMPUS CABEDELO,False,2
