nome,sigla,superior.sigla,unidade_organizacional.nome,is_siape,total_servidores
SECRETARIA DA DIREÇÃO-GERAL - CAMPUS JOÃO PESSOA,SDG-JP,DG-JP,CAMPUS JOÃO PESSOA,False,2
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM CONSTRUÇÃO DE EDIFÍCIOS ,CCSTCE-JP,UA1-JP,CAMPUS JOÃO PESSOA,False,2
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM AUTOMAÇÃO INDUSTRIAL ,CCSTAI-JP,UA3-JP,CAMPUS JOÃO PESSOA,False,3
COORDENAÇÃO DE MANUTENÇÃO E TRANSPORTES - CAMPUS JOÃO PESSOA,CMAT-JP,DAA-JP ,CAMPUS JOÃO PESSOA,False,7
COORDENAÇÃO DE SUPORTE E MANUTENÇÃO EM TECNOLOGIA DA INFORMAÇÃO - CAMPUS JOÃO PESSOA,CSMTI-JP,DG-JP,CAMPUS JOÃO PESSOA,False,3
COORDENAÇÃO DE PROTOCOLO - CAMPUS JOÃO PESSOA,PROTOCOLO-JP,DAA-JP ,CAMPUS JOÃO PESSOA,False,4
COORDENAÇÃO DE PRODUÇÃO GRÁFICA - CAMPUS JOÃO PESSOA ,CPG-JP ,DAA-JP ,CAMPUS JOÃO PESSOA,False,1
COORDENAÇÃO DE PROJETOS E OBRAS - CAMPUS JOÃO PESSOA ,CPO-JP ,CMAT-JP,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DE CONVÊNIOS E CONTRATOS  ,CCC-JP ,DLOG-JP,CAMPUS JOÃO PESSOA,False,3
COORDENAÇÃO DE LICITAÇÃO,CL-JP,DLOG-JP,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DE SEGURANÇA INSTITUCIONAL - CAMPUS JOÃO PESSOA,CSI-JP,DAA-JP ,CAMPUS JOÃO PESSOA,False,19
COORDENAÇÃO DE TRANSPORTES - CAMPUS JOÃO PESSOA,CT-JP ,DAA-JP ,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DA ÁREA DE CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS ,CCHT-JP ,UA4-JP,CAMPUS JOÃO PESSOA,False,6
COORDENAÇÃO DA ÁREA DE CIÊNCIAS DA NATUREZA - UA04 - CAMPUS JP,CACN-JP,UA4-JP,CAMPUS JOÃO PESSOA,False,4
COORDENAÇÃO DE APOIO ESTUDANTE,CAEST-JP,DAEST-JP,CAMPUS JOÃO PESSOA,False,12
COORDENAÇÃO DE EDUCAÇÃO FÍSICA ,CEF-JP,UA4-JP,CAMPUS JOÃO PESSOA,False,1
"COORDENAÇÃO DA ÁREA DE LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS ",CLCT-JP ,UA4-JP,CAMPUS JOÃO PESSOA,False,7
COORDENAÇÃO DE ALMOXARIFADO ,CA-JP ,DOF-JP ,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DA BIBLIOTECA NILO PEÇANHA - CAMPUS JP,CBNP-JP,DDE-JP,CAMPUS JOÃO PESSOA,False,15
CURSO SUPERIOR DE BACHARELADO EM ENGENHARIA ELÉTRICA ,CCSBEE-JP ,UA3-JP,CAMPUS JOÃO PESSOA,False,6
CURSO SUPERIOR DE LICENCIATURA EM QUÍMICA ,CSLQ-JP ,UA4-JP,CAMPUS JOÃO PESSOA,False,8
COORDENAÇÃO DE CONTABILIDADE - CAMPUS JOÃO PESSOA,CCONT-JP,DOF-JP ,CAMPUS JOÃO PESSOA,False,2
COORDENAÇÃO DE EXECUÇÃO FINANCEIRA - CAMPUS JOÃO PESSOA,CEFIN-JP,DOF-JP ,CAMPUS JOÃO PESSOA,False,4
COORDENAÇÃO DE PATRIMÔNIO,CPAT-JP ,DOF-JP ,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DE CONTROLE ACADÊMIC0,CCA-JP,DDE-JP,CAMPUS JOÃO PESSOA,False,11
COORDENAÇÃO DO CURSO SUPERIOR DE BACHARELADO EM ADMINISTRAÇÃO ,CCSBA-JP ,UA5-JP,CAMPUS JOÃO PESSOA,False,4
COORD. DE LABORATÓRIOS DA UNIDADE ACADÊMICA 03 - CAMPUS JP,CLAB3-JP,UA3-JP,CAMPUS JOÃO PESSOA,False,0
COORD. DE LABORATÓRIOS DA UNIDADE ACADÊMICA 02 - CAMPUS  JP ,CLAB2-JP,UA2-JP,CAMPUS JOÃO PESSOA,False,0
COORD. DE LABORATÓRIOS DA UNIDADE ACADÊMIACA 01 - CAMPUS JP,CLAB1-JP,UA1-JP,CAMPUS JOÃO PESSOA,False,0
"SECRETARIA DA UNIDADE ACADÊMICA DE INFRAESTRUTURA, DESIGN E MEIO AMBIENTE				",SUA1-JP,UA1-JP,CAMPUS JOÃO PESSOA,False,0
COMISSÃO MULTIPROFISSIONAL DE SAÚDE - CAMPUS JP,CMS-JP,DGDP-JP,CAMPUS JOÃO PESSOA,False,0
AUDITORIA -JP,AUD-JP,DG-JP,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DE PREVENÇÃO E ATENÇÃO À SAÚDE - CAMPUS JP,CPAS-JP,DAEST-JP,CAMPUS JOÃO PESSOA,False,18
COORDENAÇÃO DE ASSISTÊNCIA ÀS PESSOAS COM NECESSIDADES ESPECÍFICAS - CAMPUS JP ,COAPNE-JP,DAEST-JP,CAMPUS JOÃO PESSOA,False,8
UNISIGMA - CAMPUS JOÃO PESSOA,UNISIGMA-JP,DG-JP,CAMPUS JOÃO PESSOA,False,0
NÚCLEO DE ATIVIDADES VIRTUAL - CAMPUS JOÃO PESSOA,NAV-JP,DG-JP,CAMPUS JOÃO PESSOA,False,0
COMPEC-PT,COMPEC-PT,DG-PT ,CAMPUS PATOS,False,0
CAMPUS GUARABIRA,CAMPUS-GB,REITORIA,CAMPUS GUARABIRA,False,76
CENTRO DE REFERÊNCIA EM PESCA - REITORIA,CRPNM-RE,REITORIA,REITORIA,False,0
DIRETORIA DE DESENVOLVIMENTO DE ENSINO DO CENTRO DE REF. EM PESCA E NAVEGAÇÃO MARÍTIMA - REITORIA,DDE-CRPNM-RE,COEN-CC-RE,REITORIA,False,0
DIRETORIA GERAL DO CENTRO DE REFERÊNCIA EM PESCA E NAVEGAÇÃO MARÍTIMA - REITORIA,DG-CRPNM-RE,REITORIA,REITORIA,False,0
SETOR DE ADMINISTRAÇÃO E PLANEJAMENTO DO CENTRO DE REFERÊNCIA E PESCA E  NAVEG. MARÍTIMA - REITORIA,SAP-CRPNM-RE,REITORIA,REITORIA,False,0
DIRETORIA GERAL - CAMPUS PRINCESA ISABEL,DG-PI,CAMPUS-PI,CAMPUS PRINCESA ISABEL,False,80
CHEFIA DE GABINETE - CAMPUS PRINCESA ISABEL,CG-PI,DG-PI,CAMPUS PRINCESA ISABEL,False,0
COORDENAÇÃO DE PROTOCOLO  - CAMPUS PRINCESA ISABEL,PROTOCOLO-PI,DG-PI,CAMPUS PRINCESA ISABEL,False,0
COORDENAÇÃO DE PESQUISA E EXTENSÃO - CAMPUS PRINCESA ISABEL,CPE-PI,DDE-PI,CAMPUS PRINCESA ISABEL,False,1
"COORDENAÇÃO DE COMPRAS, LICITAÇÕES E CONTRATOS - CAMPUS PRINCESA ISABEL",CCLC-PI,DAPF-PI,CAMPUS PRINCESA ISABEL,False,2
COORDENAÇÃO DE PLANEJAMENTO E CONTABILIDADE - CAMPUS PRINCESA ISABEL,CPC-PI,DAPF-PI,CAMPUS PRINCESA ISABEL,False,2
"COORDENAÇÃO DE MANUTENÇÃO, SEGURANÇA E TRANSPORTES - CAMPUS PRINCESA ISABEL",CMST-PI,DAPF-PI,CAMPUS PRINCESA ISABEL,False,1
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS PRINCESA ISABEL,CGP-PI,DG-PI,CAMPUS PRINCESA ISABEL,False,2
COORDENAÇÃO DE CONTROLE ACADEMICO - CAMPUS PRINCESA ISABEL,CCA-PI,DDE-PI,CAMPUS PRINCESA ISABEL,False,2
Coordenação de Formação Geral - Campus Princesa Isabel,CFG-PI,DDE-PI,CAMPUS PRINCESA ISABEL,False,1
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO AMBIENTAL- CAMPUS PRINCESA ISABEL,CCSTGA-PI,DDE-PI,CAMPUS PRINCESA ISABEL,False,5
COORDENAÇÃO DE ESTÁGIOS - CAMPUS PRINCESA ISABEL,CE-PI,DDE-PI,CAMPUS PRINCESA ISABEL,False,1
COORDENAÇÃO DO CURSO TÉCNICO DE MANUTENÇÃO E SUPORTE EM INFORMÁTICA - CAMPUS PRINCESA ISABEL,CCTMSI-PI,DDE-PI,CAMPUS PRINCESA ISABEL,False,7
DIREÇÃO GERAL DO CAMPUS GUARABIRA,DG-GB,CAMPUS-GB,CAMPUS GUARABIRA,False,76
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS GUARABIRA",DAPF-GB,DG-GB,CAMPUS GUARABIRA,False,5
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS GUARABIRA,DDE-GB,DG-GB,CAMPUS GUARABIRA,False,59
COORDENAÇÃO DO CONTROLE ACADÊMICO - CAMPUS GUARABIRA,CCA-GB,DG-GB,CAMPUS GUARABIRA,False,2
COORDENAÇÃO DE PROTOCOLO - CAMPUS GUARABIRA,PROTOCOLO-GB,DG-GB,CAMPUS GUARABIRA,False,1
Comissão Eleitoral - Campus Campina Grande,CELEIT-CG,CAMPUS-CG,CAMPUS CAMPINA GRANDE,False,0
DIRETORIA DE ASSUNTOS ESTUDANTIS - REITORIA,DAEST-RE,DAPE-RE,REITORIA,False,0
COORDENAÇÃO DE ASSISTÊNCIA ESTUDANTIL - REITORIA,COEST-RE,DAEST-RE,REITORIA,False,0
COORDENAÇÃO DO PROTOCOLO - CAMPUS PICUÍ,PROTOCOLO-PC,DG-PC,CAMPUS PICUÍ,False,0
ASSESSORIA ESPECIAL - REITORIA,ASSESP-RE,REITORIA,REITORIA,False,1
PROGRAMA NACIONAL DE  ACESSO AO ENSINO TÉCNICO E EMPREGO - CAMPUS JOÃO PESSOA,PRONATEC-JP,DG-JP,CAMPUS JOÃO PESSOA,False,0
Coordenação de Diárias - Campus João Pessoa,C-DIARIAS-JP,DAF-JP,CAMPUS JOÃO PESSOA,False,0
DEPARTAMENTO DE FINANÇAS E CONTABILIDADE-CAMPUS SOUSA,DFC-SS,DAP-SS,CAMPUS SOUSA,False,7
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS SOUSA,CGP-SS,DAP-SS,CAMPUS SOUSA,False,0
COORDENACAO PEDAGOGICA - CAMPUS SOUSA,COPED-SS,DDE-SS,CAMPUS SOUSA,False,3
COORDENAÇÃO DE RELAÇÕES INSTITUCIONAIS E ESTÁGIOS-CAMPUS SOUSA,CRIE-SS,DDE-SS,CAMPUS SOUSA,False,3
"DEPARTAMENTO DE PRODUÇÃO, PESQUISA E EXTENSAO - CAMPUS SOUSA",DPPE-SS,DDE-SS,CAMPUS SOUSA,False,20
DEPARTAMENTO DE ASSISTÊNCIA ESTUDANTIL - CAMPUS SOUSA,DAE-SS,DDE-SS,CAMPUS SOUSA,False,15
COORDENACAO DOS CURSOS SUPERIORES - CAMPUS SOUSA,CCS-SS,DDE-SS,CAMPUS SOUSA,False,0
COORDENAÇÃO DO CURSO SUPERIOR DE BACHAREL EM MEDICINA VETERINÁRIA-CAMPUS SOUSA,CCSBMV-SS,DES-SS,CAMPUS SOUSA,False,6
COORDENAÇÃO DO CURSO SUPERIOR DE LICENCIATURA EM QUÍMICA-CAMPUS SOUSA,CCSLQ-SS,DES-SS,CAMPUS SOUSA,False,4
COORDENAÇÃO DO CURSO SUPERIOR EM TECNOLOGIA DE ALIMENTOS-CAMPUS SOUSA,CCSTA-SS,DES-SS,CAMPUS SOUSA,False,1
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGO EM AGROECOLOGIA-CAMPUS SOUSA,CCSTAGRO-SS,DES-SS,CAMPUS SOUSA,False,2
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA - JP ,PPGEE-JP,CCSBEE-JP ,CAMPUS JOÃO PESSOA,False,2
Comissão de Capacitação - Campus Campina Grande,CC-CG,DDE-CG,CAMPUS CAMPINA GRANDE,False,0
COMITÊ GESTOR DE TI - REITORIA,CGTI-RE,REITORIA,REITORIA,False,0
COORDENAÇÃO DA BIBLIOTECA - REITORIA,COBIBLIO-RE,PRAF-RE,REITORIA,False,0
COORDENAÇÃO DE VIGILÂNCIA DA REITORIA,COVIGI-RE,DCML-RE,REITORIA,False,0
COORDENAÇÃO DE MANUTENÇÃO DA REITORIA,COMANUT-RE,DCML-RE,REITORIA,False,2
COORDENAÇÃO DE BIBLIOTECA E CENTRO DE DOCUMENTAÇÃO - CAMPUS PRINCESA ISABEL,CBCD-PI,DDE-PI,CAMPUS PRINCESA ISABEL,False,3
COORDENAÇÃO DO CURSO TÉCNICO EM CONTABILIDADE INTEGRADO/TÉCNICO -  CAMPUS JP,CCTCONT-JP,UA5-JP,CAMPUS JOÃO PESSOA,False,3
COORDENAÇÃO DE ESPECIALIZAÇÃO EM GESTÃO PÚBLICA,CEGP-JP,UA5-JP,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DO PRONATEC - CAMPUS PICUÍ,PRONATEC-PC,DDE-PC,CAMPUS PICUÍ,False,0
COORDENAÇÃO DO CURSO TÉCNICO EM MINERAÇÃO - CAMPUS PICUÍ,CCTM-PC,DDE-PC,CAMPUS PICUÍ,False,5
COORDENAÇÃO MULHERES MIL -  CAMPUS JOÃO PESSOA,CMMIL-JP,UA4-JP,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DE MANUTENÇÃO SEGURANÇA E TRANSPORTE - CAMPUS CAJAZEIRAS,CMST-CZ,DAPF-CZ,CAMPUS CAJAZEIRAS,False,3
COORDENAÇÃO DE EDUCAÇÃO À DISTANCIA - CAMPUS PICUÍ,CEAD-PC ,DDE-PC,CAMPUS PICUÍ,False,1
COORDENAÇÃO DE BIBLIOTECA - CAMPUS CAMPINA GRANDE,CB-CG,DDE-CG,CAMPUS CAMPINA GRANDE,False,6
CONSELHO DIRETOR - CAMPUS CAJAZEIRAS,CD-CZ,CAMPUS-CZ,CAMPUS CAJAZEIRAS,False,0
DEPARTAMENTO DE ORÇAMENTO E FINANÇAS - CAMPUS CAJAZEIRAS,DEOF-CZ,DAPF-CZ,CAMPUS CAJAZEIRAS,False,3
DEPARTAMENTO DE GESTÃO DE PESSOAS - CAMPUS CAJAZEIRAS,DGP-CZ,DAPF-CZ,CAMPUS CAJAZEIRAS,False,3
COORDENAÇÃO DE PATRIMÔNIO - CAMPUS CAJAZEIRAS,PATRIMONIO-CZ,DAPF-CZ,CAMPUS CAJAZEIRAS,False,2
COORDENAÇÃO DE PLANEJAMENTO - CAMPUS CAJAZEIRAS,COPLAN-CZ,DAPF-CZ,CAMPUS CAJAZEIRAS,False,2
COORDENAÇÃO DE APOIO AO ESTUDANTE - CAMPUS CAJAZEIRAS,CAEST-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,False,7
COORDENAÇÃO DE CONTROLE ACADÊMICO - CAMPUS CAJAZEIRAS,CCA-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,False,4
COORDENAÇÃO DE BIBLIOTECA - CAMPUS CAJAZEIRAS,CB-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,False,2
COORDENAÇÃO PEDAGÓGICA - CAMPUS CAJAZEIRAS,COPED-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,False,6
COORDENAÇÃO DA UNIDADE ACADÊMICA DA ÁREA DE FORMAÇÃO GERAL E PROJETOS ESPECIAIS- CAMPUS CAJAZEIRAS,UFGP-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,False,43
COORDENAÇÃO DE LICENCIATURA EM MATEMÁTICA - CAMPUS CAJAZEIRAS,CLM-CZ,UFGP-CZ,CAMPUS CAJAZEIRAS,False,1
COORDENAÇÃO DA UNIDADE ACADÊMICA DA ÁREA DE INDÚSTRIA -  CAMPUS CAJAZEIRAS,UNIND-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,False,45
COORDENAÇÃO DO CURSO SUPERIOR EM TECNOLOGIA DE AUTOMAÇÃO INDUSTRIAL - CAMPUS CAJAZEIRAS,CAIND-CZ,UNIND-CZ,CAMPUS CAJAZEIRAS,False,1
COORDENAÇÃO DO CURSO TÉCNICO EM EDIFICAÇÕES - CAMPUS CAJAZEIRAS,CTED-CZ,UNIND-CZ,CAMPUS CAJAZEIRAS,False,2
COORDENAÇÃO DO CURSO TÉCNICO EM ELETROMECÂNICA - CAMPUS CAJAZEIRAS,CTEL-CZ,UNIND-CZ,CAMPUS CAJAZEIRAS,False,3
COORDENAÇÃO DA UNIDADE ACADÊMICA DA ÁREA DE INFORMÁTICA - CAMPUS CAJAZEIRAS,UNINFO-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,False,15
COORDENAÇÃO DO CURSO SUPERIOR EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - CAMPUS CAJAZEIRAS,CADS-CZ,UNINFO-CZ,CAMPUS CAJAZEIRAS,False,2
COORDENAÇÃO DO CURSO TÉCNICO EM INFORMÁTICA - CAMPUS CAJAZEIRAS,CTIN-CZ,UNINFO-CZ,CAMPUS CAJAZEIRAS,False,1
COORDENAÇÃO DE PESQUISA - CAMPUS CAJAZEIRAS,CP-CZ,DG-CZ,CAMPUS CAJAZEIRAS,False,3
COORDENAÇÃO DE ESTÁGIO E RELAÇÕES EMPRESARIAIS - CAMPUS CAJAZEIRAS,CERE-CZ,DG-CZ,CAMPUS CAJAZEIRAS,False,3
COORDENAÇÃO DE TECNOLOGIA DA INFORMAÇÃO - CAMPUS CAJAZEIRAS,CTI-CZ,DG-CZ,CAMPUS CAJAZEIRAS,False,3
OUVIDORIA - CAMPUS CAJAZEIRAS,OUVIDORIA-CZ,GDG-CZ,CAMPUS CAJAZEIRAS,False,0
NÚCLEO DE ATENDIMENTO ÀS PESSOAS COM NECESSIDADES EDUCACIONAIS ESPECÍFICAS - CAMPUS CAJAZEIRAS,NAPNE-CZ,DG-CZ,CAMPUS CAJAZEIRAS,False,2
COORDENAÇÃO DE PROTOCOLO - CAMPUS CAJAZEIRAS,PROTOCOLO-CZ,DG-CZ,CAMPUS CAJAZEIRAS,False,5
COORDENAÇÃO DE CURSOS - CAMPUS CAJAZEIRAS,CC-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,False,0
DEPARTAMENTO DE EDUCAÇÃO À DISTÂNCIA - CAMPUS JOÃO PESSOA,DED-JP,DDE-JP,CAMPUS JOÃO PESSOA,False,2
COORDENAÇÃO DE PROTOCOLO - CAMPUS SOUSA,PROTOCOLO-SS,COMS-SS,CAMPUS SOUSA,False,3
COORDENAÇÃO DE EXECUÇÃO ORÇAMENTARIA E FINANCEIRA-CAMPUS SOUSA,CEOF-SS,DFC-SS,CAMPUS SOUSA,False,2
COORDENAÇÃO DE SERVIÇOS DE APOIO - CAMPUS SOUSA,CSA-SS,DAP-SS,CAMPUS SOUSA,False,0
COORDENAÇÃO DE ALMOXARIFADO-CAMPUS SOUSA,CA-SS,DS-SS,CAMPUS SOUSA,False,1
COORDENAÇÃO DE PATRIMONIO-CAMPUS SOUSA,CP-SS,DFC-SS,CAMPUS SOUSA,False,2
SETOR DE MARCENARIA E CARPINTARIA - CAMPUS SOUSA,SMC-SS,CSA-SS,CAMPUS SOUSA,False,0
COORDENAÇÃO  DE CONTROLE ACADÊMICO - CAMPUS SOUSA,CCA-SS,DDE-SS,CAMPUS SOUSA,False,3
NÚCLEO DE APOIO AOS SERVIÇOS MÉDICOS E ODONTOLÓGICOS,NASMO-CZ,DDE-CZ,CAMPUS CAJAZEIRAS,False,3
ENSINO A DISTANCIA - CAMPUS CAMPINA GRANDE,EAD-CG,DDE-CG,CAMPUS CAMPINA GRANDE,False,0
COORDENAÇÃO DO PRONATEC - CAMPUS PATOS,PRONATEC-PT,DDE-PT,CAMPUS PATOS,False,0
COMPEC - CAMPUS MONTEIRO,COMPEC-MT,DG-MT,CAMPUS MONTEIRO,False,0
Coordenação do Curso de Licenciatura em Letras EAD,CLaD-JP,UA4-JP,CAMPUS JOÃO PESSOA,False,4
COORDENAÇÃO DE EDUCAÇÃO À DISTÂNCIA - CAMPUS PATOS,CEAD-PT,DDE-PT,CAMPUS PATOS,False,0
PESQUISADOR INSTITUCIONAL - REITORIA,PI-RE,REITORIA,REITORIA,False,1
COORDENAÇÃO DO PRONATEC - CAMPUS MONTEIRO,PRONATEC-MT,CAMPUS-MT,CAMPUS MONTEIRO,False,0
DEPARTAMENTO ACADÊMICO-CAMPUS CAMPINA GRANDE,DAC-CG,DDE-CG,CAMPUS CAMPINA GRANDE,False,0
COORDENAÇÃO DE EDUCAÇÃO À DISTANCIA - CAMPUS MONTEIRO,CEAD-MT,DDE-MT,CAMPUS MONTEIRO,False,0
COORDENAÇÃO DE LICITAÇÕES-CAMPUS SOUSA,CLICITA-SS,DS-SS,CAMPUS SOUSA,False,1
SETOR DE CONTABILIDADE - CAMPUS SOUSA,SCONT-SS,DAP-SS,CAMPUS SOUSA,False,0
DIRETORIA DE ADMINISTRAÇÃO DE MATERIAIS E RECURSOS PATRIMONIAIS - REITORIA,DAMRP-RE,PRAF-RE,REITORIA,False,6
COORDENAÇÃO DO PRONATEC - CAMPUS CAJAZEIRAS,PRONATEC-CZ,CE-CZ,CAMPUS CAJAZEIRAS,False,0
NÚCLEO DE ASSISTÊNCIA AO SERVIDOR - DDP - REITORIA,NAS-DDP-RE,DDP-RE,REITORIA,False,0
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS GUARABIRA,CGP-GB,DG-GB,CAMPUS GUARABIRA,False,2
COORDENAÇÃO DE TECNOLOGIA DA INFORMAÇÃO - CAMPUS GUARABIRA,CTI-GB,DG-GB,CAMPUS GUARABIRA,False,2
COORDENAÇÃO DE COMPRAS E LICITAÇÃO - CAMPUS GUARABIRA,CCL-GB,DAPF-GB,CAMPUS GUARABIRA,False,1
COORDENAÇÃO DE EXTENSÃO - CAMPUS GUARABIRA,COEX-GB,DG-GB,CAMPUS GUARABIRA,False,1
COORDENAÇÃO DE EDUCAÇÃO À DISTANCIA - CAMPUS GUARABIRA,EAD-GB,DDE-GB,CAMPUS GUARABIRA,False,0
COORDENAÇÃO DO PRONATEC - CAMPUS GUARABIRA,PRONATEC-GB,DDE-GB,CAMPUS GUARABIRA,False,0
COORDENAÇÃO DE PLANEJAMENTO -  CAMPUS JP,CPLAN-JP,DAF-JP,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DE EXECUÇÃO ORÇAMENTÁRIA E FINANCEIRA - CAMPUS PRINCESA ISABEL,CEOF-PI,DAPF-PI,CAMPUS PRINCESA ISABEL,False,1
COORDENAÇÃO DE TECNOLOGIA DA INFORMAÇÃO - CAMPUS PRINCESA ISABEL,CTI-PI,DG-PI,CAMPUS PRINCESA ISABEL,False,2
COORDENAÇÃO DO CURSO TÉCNICO EM EDIFICAÇÕES  - CAMPUS PRINCESA ISABEL,CCTE-PI,DDE-PI,CAMPUS PRINCESA ISABEL,False,8
COORDENAÇÃO DO CURSO SUPERIOR EM LICENCIATURA  EM FÍSICA,CCLF-CG,DDE-CG,CAMPUS CAMPINA GRANDE,False,3
COORDENAÇÃO DO CURSO DE ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - CAMPUS MONTEIRO,CCADS-MT,DDE-MT,CAMPUS MONTEIRO,False,7
COORDENAÇÃO DO PROGRAMA MULHERES MIL - CAMPUS PICUÍ,CPMM-PC,DDE-PC,CAMPUS PICUÍ,False,0
SETOR DE CONTRATOS - CAMPUS CABEDELO,SC-CB,CCCL-CB,CAMPUS CABEDELO,False,0
COORDENAÇÃO ADJUNTA DO CURSO PRONATEC - CAMPUS CAMPINA GRANDE,PRONATEC-CG,DDE-CG,CAMPUS CAMPINA GRANDE,False,0
COMISSÃO PERMANENTE DE COBRANÇA DE NOTAS DE EMPENHO - CAMPUS JP - ,CPCE-JP,DG-JP,CAMPUS JOÃO PESSOA,False,0
COMISSÃO PERMANENTE DE PROCESSOS EM FACE DO FORNECEDOR - CAMPUS JP,CPPF-JP,DG-JP,CAMPUS JOÃO PESSOA,False,0
"LABORATÓRIOS DE QUIMICA, SOLOS E MICROBIOLOGIA - CAMPUS PICUÍ",LABQSM-PC,DDE-PC,CAMPUS PICUÍ,False,0
Diretoria de Extensão Popular e Rural - Reitoria,DEXPR-RE,PROEXC-RE,REITORIA,False,2
COORDENAÇÃO DE REGISTRO E GERENCIAMENTO DE PROJETOS - REITORIA,CRGP-RE,DEXPR-RE,REITORIA,False,1
COORDENAÇÃO DE SUPERVISÃO E AVALIAÇÃO DAS ATIVIDADES DE EXTENSÃO - REITORIA,CSAAE-RE,PROEXC-RE,REITORIA,False,0
Diretoria de Extensão Tecnológica - Reitoria,DEXT-RE,PROEXC-RE,REITORIA,False,7
COORDENAÇÃO DE EXTENSÃO TECNOLÓGICA - REITORIA,CET-RE,DEXT-RE,REITORIA,False,1
COORDENAÇÃO DE ASSUNTOS COMUNITÁRIOS - REITORIA,CAC-RE,DEXPR-RE,REITORIA,False,0
COORDENAÇÃO DE ARQUIVO CENTRAL - CAMPUS JOÃO PESSOA,CAC-JP,DAA-JP ,CAMPUS JOÃO PESSOA,False,3
SERVIÇO DE INFORMAÇÕES AO CIDADÃO - REITORIA,SIC-RE,REITORIA,REITORIA,False,0
COORDENAÇÃO DE PESQUISA E INOVAÇÃO - CAMPUS MONTEIRO,CPESQI-MT,DDE-MT,CAMPUS MONTEIRO,False,1
NEPA - Núcleo de Ensino e Pesquisa em Astronomia do IFPB - REITORIA,NEPA-RE,PRE-RE,REITORIA,False,0
NEPA - Núcleo de Ensino e Pesquisa em Astronomia do IFPB -  CAMPUS - JP,NEPA-JP,DDE-JP,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DO CURSO SUPERIOR EM BACHARELADO EM ADMINISTRAÇÃO PÚBLICA - EAD - CAMPUS JOÃO PESSOA,CSAP-EAD-JP,UA5-JP,CAMPUS JOÃO PESSOA,False,2
COORDENAÇÃO GERAL DO PRONATEC - REITORIA,CGPRO-RE,PROEXC-RE,REITORIA,False,0
COORDENAÇÃO DO CURSO TÉCNICO EM CONTABILIDADE INTEGRADO -  EAD  -  CAMPUS JP,CCTCONT-EAD-JP,UA5-JP,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DO PROGRAMA MULHERES MIL - REITORIA,CPMM-RE,DEXT-RE,REITORIA,False,0
COORDENAÇÃO DE EXTENSÃO -  CAMPUS MONTEIRO,COEXT-MT,DDE-MT,CAMPUS MONTEIRO,False,1
COORDENAÇÃO DE ESPECIALIZAÇÃO - CAMPUS MONTEIRO,COESP-MT,DDE-MT,CAMPUS MONTEIRO,False,1
COORDENAÇÃO DO CURSO TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - CAMPUS MONTEIRO,CTMSI-MT,DDE-MT,CAMPUS MONTEIRO,False,3
COORDENAÇÃO DO CURSO TÉCNICO EM INSTRUMENTO MUSICAL - CAMPUS MONTEIRO,CCTIM-MT,DDE-MT,CAMPUS MONTEIRO,False,9
COORDENAÇÃO DE ALMOXARIFADO E PATRIMÔNIO - CAMPUS CAMPINA GRANDE,CAP-CG,DAPF-CG,CAMPUS CAMPINA GRANDE,False,6
COMISSÃO PERMANENTE DE REMOÇÃO INTERNA -  REITORIA,CPRI-RE,COMISSOES-RE,REITORIA,False,0
